"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","chromosome segregation","118/2806","434/18860",0.271889400921659,1.82745335045705,7.29095444045557,1.49620356582033e-11,5.59613723920131e-08,5.05150242779995e-08,"ABRAXAS1/ACTB/AKAP8/ANAPC1/ANAPC11/APC/ARHGEF10/ARID1B/ATM/BAG6/BCCIP/BCL7A/BUB3/CCDC86/CCNB1/CCNE2/CCSAP/CDC42/CDC6/CDK1/CDT1/CENPF/CENPN/CENPO/CEP192/CEP63/CHFR/CHMP2B/CHMP5/CHMP7/CSNK2A2/CUL3/DDX3X/DPF2/DYNC1H1/EHMT2/EML4/ERCC2/FBXO30/FLNA/GEN1/GPSM2/GTF2B/HASPIN/HECW2/HNRNPU/HORMAD1/KASH5/KIF11/KIF2A/KLHL22/KNL1/M1AP/MAD1L1/MAEL/MAJIN/MAPRE2/MAPRE3/MCMDC2/MIS12/MKI67/MLH1/MLH3/MMS19/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NDC1/NDEL1/NEK6/NSMCE2/NTMT1/NUMA1/NUP62/PLSCR1/PPP2R2D/PRC1/PRDM9/RAD18/RAN/RCC1/RHOA/RNF4/SEH1L/SIRT7/SKA1/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SMC5/SMC6/SPATA22/SPDL1/SPICE1/SPO11/SRPK1/STAG2/STAG3/SYCP2/TENT4A/TLK1/TOP1/TUBB/TUBG1/TUBG2/TUBGCP3/TUBGCP4/TUBGCP5/TUBGCP6/UBE2I/UHRF1/WASHC5/ZCWPW1",118
"GO:0006302","double-strand break repair","97/2806","334/18860",0.290419161676647,1.95199764405615,7.33888042176891,1.84325996021124e-11,5.59613723920131e-08,5.05150242779995e-08,"ABRAXAS1/ACTB/AP5S1/APLF/ARID1B/ATM/BABAM2/BCL7A/BRME1/CDC45/CDC7/CSNK2A2/DDX11/DEK/DNA2/DPF2/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HMGA2/HSF1/HSF2BP/HTATSF1/INTS3/KASH5/KDM2A/LIG3/LIG4/MAGEF1/MAJIN/MBTD1/MCM2/MCM3/MCM4/MCMDC2/MLH1/MMS22L/MORF4L1/MRGBP/MRNIP/NABP2/NHEJ1/NSMCE2/OGG1/PARP2/PARP3/PIAS1/PIAS4/PML/POGZ/POLA1/PPP4R2/PPP5C/PRDM9/PRKDC/RAD51AP1/RBBP8/RECQL4/REV3L/RMI1/RNF126/RPA1/RTEL1/RUVBL1/SAMHD1/SENP3/SETMAR/SETX/SFR1/SHLD2/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SMC5/SMC6/SMCHD1/SPIRE2/SPO11/TDP1/TDP2/TENT4A/TIMELESS/TWIST1/UBQLN4/UHRF1/XRCC2/YEATS4/YY1/ZCWPW1",97
"GO:0044772","mitotic cell cycle phase transition","118/2806","461/18860",0.255965292841649,1.72042246008321,6.54714759203943,8.75475422261741e-10,1.77196225465776e-06,1.59950895569014e-06,"ABRAXAS1/ACTB/ACVR1B/AKT1/ANAPC1/ANAPC11/ANLN/APC/ARID1B/ATM/BABAM2/BCL7A/BID/BRD4/BRSK1/BUB3/CACNB4/CALM3/CCNB1/CCND1/CCND3/CCNE2/CCNF/CCNH/CCNI/CCNJL/CDC14A/CDC14B/CDC25B/CDC25C/CDC34/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN2A/CDKN2C/CENPF/CHFR/CHMP7/CKS2/CPSF3/CUL2/CUL3/DACT1/DDX3X/DNM2/DPF2/DTL/E2F1/E2F7/EIF4EBP1/EPS8/ERCC2/FBXL15/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/HASPIN/HECW2/ID2/INHBA/INTS3/KDM8/KHDRBS1/KLF4/KLHL22/KNL1/MAD1L1/MARK3/MEPCE/MRNIP/MYB/NABP2/NAE1/NEK6/NFIB/NSMCE2/PABIR1/PIAS1/PKD2/PLK3/PPM1D/PPME1/PPP2R2D/PPP6C/PRKDC/PRMT2/RBBP8/RBL2/RBX1/RCC1/SENP2/SKA1/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SMC5/SPAST/SPDL1/TAOK1/TAOK2/TCF3/TFDP1/TMEM14B/TMOD3/TPRA1/TRIM39/UBE2E2/USP38/WAC/ZFYVE19",118
"GO:0000280","nuclear division","116/2806","453/18860",0.2560706401766,1.72113053233453,6.49505769027807,1.18507934877363e-09,1.79895045143837e-06,1.62387057080639e-06,"ABRAXAS1/AKAP8/ANAPC11/ANLN/APC/ARHGEF10/ATM/BAG6/BCCIP/BMP7/BRME1/BROX/BUB3/CCDC86/CCNB1/CCNE2/CCSAP/CDC14A/CDC14B/CDC25B/CDC25C/CDC42/CDK1/CDT1/CENPF/CEP192/CHFR/CHMP2B/CHMP5/CHMP7/CKS2/CUL3/DAPK3/DMRT1/EHMT2/EML4/EPS8/ERCC4/FANCA/FBXW5/FIGNL1/FLNA/FZR1/GEN1/HASPIN/HFM1/HNRNPU/HORMAD1/HSF1/HSF2BP/ING2/KASH5/KIF11/KIF2A/KLHL22/KNL1/L3MBTL1/LIF/M1AP/MAD1L1/MAEL/MAJIN/MCMDC2/MEI1/MEIOSIN/MIS12/MKI67/MLH1/MLH3/MOV10L1/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NDC1/NDEL1/NFIB/NSMCE2/NUMA1/NUP62/PPP2R2D/PRC1/PRDM9/PSMA8/RAD51AP1/RAN/RANBP1/RCC1/RHOA/RMI1/SEH1L/SIRT7/SKA1/SLC25A31/SMARCA5/SMC4/SPAST/SPATA22/SPDL1/SPICE1/SPIRE2/SPO11/STAG2/STAG3/SYCP2/TENT4A/TOP6BL/TUBG1/TUBG2/UBB/UBE2I/UHRF1/WASHC5/WNT4/ZCWPW1",116
"GO:0098813","nuclear chromosome segregation","87/2806","323/18860",0.269349845201238,1.81038420545095,6.1416355071525,1.13842163210236e-08,1.3824992300251e-05,1.2479497764962e-05,"ABRAXAS1/ACTB/AKAP8/ANAPC1/ANAPC11/APC/ARHGEF10/ARID1B/ATM/BAG6/BCCIP/BCL7A/BUB3/CCNB1/CCNE2/CCSAP/CDC42/CDC6/CDK1/CDT1/CENPF/CEP192/CHFR/CHMP2B/CHMP5/CHMP7/CUL3/DPF2/DYNC1H1/EHMT2/EML4/FLNA/GEN1/HASPIN/HECW2/HNRNPU/HORMAD1/KASH5/KIF11/KIF2A/KLHL22/KNL1/M1AP/MAD1L1/MAEL/MAJIN/MCMDC2/MIS12/MLH1/MLH3/MSH4/MSH5/MYBL2/NCAPD3/NCAPH/NDC1/NEK6/NSMCE2/NUMA1/NUP62/PRC1/PRDM9/RAN/RCC1/RHOA/SEH1L/SIRT7/SKA1/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC4/SPATA22/SPDL1/SPICE1/SPO11/STAG2/STAG3/SYCP2/TENT4A/TUBG1/TUBG2/UHRF1/WASHC5/ZCWPW1",87
"GO:0000724","double-strand break repair via homologous recombination","58/2806","195/18860",0.297435897435897,1.99915931063472,5.8634008079357,8.13839273498905e-08,7.47867245478468e-05,6.7508230136717e-05,"ACTB/AP5S1/ATM/CDC45/CDC7/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HTATSF1/INTS3/KASH5/LIG3/MAGEF1/MBTD1/MCM2/MCM3/MCM4/MCMDC2/MMS22L/MORF4L1/MRGBP/MRNIP/NABP2/NSMCE2/PIAS1/PIAS4/POGZ/PPP4R2/PRKDC/RAD51AP1/RBBP8/RECQL4/REV3L/RMI1/RNF126/RPA1/RTEL1/RUVBL1/SAMHD1/SENP3/SFR1/SHLD2/SMC5/SMC6/SMCHD1/TIMELESS/UBQLN4/UHRF1/XRCC2/YEATS4/YY1",58
"GO:0051052","regulation of DNA metabolic process","118/2806","497/18860",0.237424547283702,1.59580433420193,5.6275786031854,8.62165796829591e-08,7.47867245478468e-05,6.7508230136717e-05,"ABRAXAS1/ACD/ACTB/AKT1/APLF/ARID1B/ATM/ATXN7L3/BABAM2/BCL7A/CAMSAP3/CCT5/CDC6/CDC7/CDK1/CDT1/CHRAC1/CHTF18/DDX11/DEK/DFFB/DHX9/DKC1/DNA2/DPF2/DYNLL1/E2F7/EHMT2/ENDOG/EPC1/EPC2/ERCC2/ERCC4/ERCC6/ESCO1/EXOSC6/FIGNL1/FUS/GMNN/H1-5/H2AX/HMGA2/HNRNPA1/HNRNPU/HSF1/ING5/INO80C/INO80E/KAT7/KCTD13/KLF4/LIG3/MAGEF1/MAP2K7/MBTD1/MCM2/MCM3/MCM4/MLH1/MORF4L1/MRGBP/MRNIP/NABP2/NAF1/NAT10/NSMCE2/OGG1/PARN/PARP3/PAXIP1/PIAS4/PKIB/PML/POLH/PPP4R2/PRDM9/PRKDC/PTGES3/PTK6/RAD51AP1/RFC3/RNF126/RTEL1/RUVBL1/SENP2/SENP3/SETMAR/SHLD2/SIRT7/SMARCA4/SMARCA5/SMARCB1/SMARCC1/SMARCD3/SMC5/SMC6/SMCHD1/SPIRE2/SUPT7L/SUV39H1/TADA2B/TAF5L/TAF6/TFDP1/TFRC/TIGAR/TIMELESS/TNKS2/TRIM28/TWIST1/UBQLN4/UPF1/USP1/WRNIP1/YEATS4/YLPM1/YY1/ZCWPW1",118
"GO:0000725","recombinational repair","59/2806","201/18860",0.293532338308458,1.97292227387652,5.79753697062782,1.05506826748685e-07,7.98341248725926e-05,7.206440056369e-05,"ACTB/AP5S1/ATM/CDC45/CDC7/CTBP1-DT/DYRK1A/EPC1/EPC2/ERCC4/ERCC6/FAN1/FIGNL1/FUS/GEN1/H2AX/HTATSF1/INTS3/KASH5/LIG3/MAGEF1/MBTD1/MCM2/MCM3/MCM4/MCMDC2/MMS22L/MORF4L1/MRGBP/MRNIP/NABP2/NSMCE2/PIAS1/PIAS4/POGZ/PPP4R2/PRKDC/RAD51AP1/RBBP8/RECQL4/REV3L/RMI1/RNF126/RPA1/RTEL1/RUVBL1/SAMHD1/SENP3/SFR1/SHLD2/SMC5/SMC6/SMCHD1/TIMELESS/UBQLN4/UHRF1/XRCC2/YEATS4/YY1",59
"GO:1901987","regulation of cell cycle phase transition","112/2806","468/18860",0.239316239316239,1.60851898556817,5.5730650760518,1.18331212755819e-07,7.98341248725926e-05,7.206440056369e-05,"ABRAXAS1/ACTB/AKT1/ANAPC11/ANLN/APBB2/APC/ARID1B/ATM/BABAM2/BCL7A/BID/BRD4/BRSK1/BUB3/CACNB4/CAMSAP3/CCNB1/CCND1/CCND3/CCNE2/CCNH/CDC14A/CDC14B/CDC25B/CDC25C/CDC45/CDC5L/CDC6/CDC7/CDC73/CDK1/CDK10/CDK16/CDK17/CDK2AP2/CDKN2A/CDKN2C/CDT1/CENPF/CEP63/CHFR/CLOCK/CPSF3/CUL3/DACT1/DDRGK1/DDX3X/DNA2/DPF2/DTL/E2F1/E2F7/ERCC2/ERCC6/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/H2AX/HASPIN/HECW2/HORMAD1/ID2/INHBA/INTS3/INTS7/KLF4/KLHL22/KNL1/MAD1L1/MARK3/MEPCE/MRNIP/NABP2/NAE1/NEK6/NPM1/NSMCE2/PABIR1/PAXIP1/PKD2/PLK3/PRKDC/PRMT2/RAD9A/RASSF1/RBBP8/RBL2/SENP2/SETMAR/SKA1/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPDL1/TAOK1/TAOK2/TCF3/TELO2/TFDP1/TIMELESS/TMEM14B/TMOD3/TPRA1/TRIM39/UBE2E2/WAC/ZFYVE19",112
"GO:1901990","regulation of mitotic cell cycle phase transition","90/2806","357/18860",0.252100840336134,1.69444827111172,5.53814687048064,1.81073123715786e-07,0.000107757617610108,9.72702855030568e-05,"ABRAXAS1/ACTB/AKT1/ANAPC11/ANLN/APC/ARID1B/ATM/BABAM2/BCL7A/BID/BRD4/BRSK1/BUB3/CACNB4/CCNB1/CCND1/CCND3/CCNE2/CCNH/CDC14A/CDC14B/CDC25B/CDC25C/CDC6/CDC7/CDC73/CDK1/CDK10/CDK2AP2/CDKN2A/CDKN2C/CENPF/CHFR/CPSF3/CUL3/DACT1/DDX3X/DPF2/DTL/E2F1/E2F7/ERCC2/FBXO7/FHL1/FOXN3/FOXO4/FZR1/GEN1/HASPIN/HECW2/ID2/INHBA/INTS3/KLF4/KLHL22/KNL1/MAD1L1/MARK3/MEPCE/MRNIP/NABP2/NAE1/NEK6/NSMCE2/PABIR1/PKD2/PLK3/PRKDC/PRMT2/RBBP8/RBL2/SENP2/SKA1/SMARCA4/SMARCB1/SMARCC1/SMARCD3/SPDL1/TAOK1/TAOK2/TCF3/TFDP1/TMEM14B/TMOD3/TPRA1/TRIM39/UBE2E2/WAC/ZFYVE19",90
